Q3,QS_2021,is_redbrick,QS_UK_2021,is_oxbridge,is_russell
University of Oxford,5,0,1,1,1
University of Cambridge,7,0,2,1,1
"Imperial College of Science, Technology and Medicine",8,0,3,0,1
University College London,10,0,4,0,1
University of Edinburgh,20,0,5,0,1
The University of Manchester,27,1,6,0,1
King's College London,31,0,7,0,1
The London School of Economics and Political Science,49,0,8,0,1
University of Bristol,58,1,9,0,1
The University of Warwick,62,0,10,0,1
University of Glasgow,77,0,11,0,1
University of Durham,86,0,12,0,1
The University of Birmingham,87,1,13,0,1
University of Southampton,90,0,14,0,1
The University of Leeds,91,1,15,0,1
The University of Sheffield,93,1,16,0,1
University of St Andrews,96,0,17,0,0
"University of Nottingham, The",99,0,18,0,1
Queen Mary University of London,114,0,19,0,1
The University of Lancaster,135,0,20,0,0
University of York,150,0,21,0,1
University of Newcastle upon Tyne,152,0,22,0,1
Cardiff University / Prifysgol Caerdydd,159,0,23,0,1
University of Exeter,164,0,24,0,1
The University of Bath,173,0,25,0,0
Liverpool School of Tropical Medicine,181,0,26,0,0
The University of Liverpool,181,1,27,0,1
The University of Reading,205,0,28,0,0
University of Aberdeen,207,0,29,0,0
Queen's University of Belfast,209,0,30,0,1
Loughborough University,226,0,31,0,0
The University of Leicester,242,0,32,0,0
University of Sussex,246,0,33,0,0
The University of Surrey,267,0,34,0,0
University of Strathclyde,300,0,35,0,0
Heriot-Watt University,301,0,36,0,0
Royal Holloway and Bedford New College,308,0,37,0,0
The University of East Anglia,333,0,38,0,0
Birkbeck College,344,0,39,0,0
School of Oriental and African Studies,346,0,40,0,0
"City, University of London",350,0,41,0,0
Brunel University London,368,0,42,0,0
The University of Kent,380,0,43,0,0
Oxford Brookes University,383,0,44,0,0
The University of Essex,411,0,45,0,0
Goldsmiths' College,416,0,46,0,0
Swansea University / Prifysgol Abertawe,474,0,47,0,0
University of Stirling,485,0,48,0,0
Aberystwyth University / Prifysgol Aberystwyth,485,0,49,0,0
Aston University,515,0,50,0,0
Coventry University,545,0,51,0,0
Kingston University,585,0,52,0,0
The University of Hull,625,0,53,0,0
University of Ulster,625,0,54,0,0
University of Portsmouth,625,0,55,0,0
Bangor University / Prifysgol Bangor,625,0,56,0,0
University of Northumbria at Newcastle,675,0,57,0,0
University of Plymouth,675,0,58,0,0
The University of Westminster,675,0,59,0,0
University of Keele,725,0,60,0,0
Nottingham Trent University,775,0,61,0,0
Bournemouth University,775,0,62,0,0
University of Lincoln,900,0,63,0,0
"University of the West of England, Bristol",900,0,64,0,0
"Queen Margaret University, Edinburgh",900,0,65,0,0
University of Brighton,900,0,66,0,0
University of Hertfordshire,900,0,67,0,0
Sheffield Hallam University,900,0,68,0,0
Manchester Metropolitan University,900,0,69,0,0
"University of Salford, The",900,0,70,0,0
Liverpool John Moores University,900,0,71,0,0
Leeds Beckett University,1000,0,72,0,0
Other,,0,,0,0
University of Wales Trinity Saint David / Prifysgol Cymru Y Drindod Dewi Sant,,0,72,0,0
Anglia Ruskin University Higher Education Corporation,,0,72,0,0
Edge Hill University,,0,72,0,0
SRUC,,0,72,0,0
Royal College of Art(The),,0,72,0,0
The Royal Central School of Speech and Drama,,0,72,0,0
St. George's Hospital Medical School,,0,72,0,0
The Open University,,0,72,0,0
"University of the Arts, London",,0,72,0,0
University of Chester,,0,72,0,0
Buckinghamshire New University,,0,72,0,0
University of the West of Scotland,,0,72,0,0
